,SrNo,System_Date_Time,IMEI_Number,Sim_Number,SIMCOM_Manufacturing_DATE,ESP_Name,ESP_Serial_Number,ESP_ManufacturingDate,Network_Timestamp,Body_Temperature,Heart_Rate,SpO2,accX,accY,accZ,gyroX,gyroY,gyroZ,Heading,Body_Activity,Jaw_Movement,AT_Ideal_Temperature,Location,Battery,Device_Status,Network_Timestamp,"Body_Activity
1- standing
0- sitting","Jaw_Movement
0- feeding
1- Head Move
2- Idle
3- Rumination"
1915,30900,2024-09-10 16:26:56,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:26:52",39.84,0,93.56,-0.14,-1.15,8.65,0.03,-0.05,-0.15,NE,Standing,0,37.865,"28.535782,77.567828",100,0,"24/09/10,16:26:52",1,2
1916,30901,2024-09-10 16:29:17,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:29:13",40.01,0,98.69,10.04,-0.94,-0.09,-0.07,0,0.01,E,Standing,2,37.865,"28.535793,77.567838",100,0,"24/09/10,16:29:13",1,2
1917,30902,2024-09-10 16:30:27,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:30:23",40.09,0,98.76,9.89,-1.22,0.54,-0.12,-0.01,0.02,E,Standing,0,37.865,"28.535793,77.567838",100,0,"24/09/10,16:30:23",1,2
1918,30903,2024-09-10 16:32:48,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:32:44",40.26,0,93.9,9.77,0.81,1.79,0.08,0.08,0.1,E,Standing,3,37.865,"28.535793,77.567838",100,0,"24/09/10,16:32:44",1,0
1919,30904,2024-09-10 16:34:06,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:33:55",40.61,0,93.72,9.84,-1.28,0.69,-0.08,0.05,-0.01,E,Standing,1,37.865,"28.535790,77.567833",100,0,"24/09/10,16:33:55",1,0
1920,30905,2024-09-10 16:35:09,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:35:05",40.72,0,91.35,9.31,0.54,1.16,0.15,0.09,0.02,E,Standing,2,37.865,"28.535735,77.567752",100,0,"24/09/10,16:35:05",1,0
1921,30906,2024-09-10 16:36:32,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:36:14",40.56,0,91.23,8.94,0.62,1.68,0.13,-0.05,0.14,E,Standing,1,37.865,"28.535717,77.567792",100,0,"24/09/10,16:36:14",1,0
1922,30907,2024-09-10 16:37:40,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:37:24",40.79,0,98.2,9.99,0.3,1.02,-0.06,-0.09,0.01,E,Standing,1,37.865,"28.535767,77.567793",100,0,"24/09/10,16:37:24",1,0
1923,30908,2024-09-10 16:38:40,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:38:35",40.95,0,94.39,9.65,0.05,1.92,0.33,0.15,0.11,E,Standing,1,37.865,"28.535717,77.567803",100,0,"24/09/10,16:38:35",1,0
1924,30909,2024-09-10 16:39:50,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:39:45",40.93,0,97.57,9.54,1.11,1.68,-0.06,-0.04,0.01,E,Standing,1,37.865,"28.535677,77.567715",100,0,"24/09/10,16:39:45",1,0
1925,30910,2024-09-10 16:41:01,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:40:56",41.04,0,97.38,9.67,1.52,2.09,0.01,0.01,0.01,E,Standing,3,37.865,"28.535710,77.567770",100,0,"24/09/10,16:40:56",1,0
1926,30911,2024-09-10 16:42:11,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:42:06",41.29,0,90.45,10.07,0.37,1.69,-0.15,0.23,0.02,E,Standing,2,37.865,"28.535677,77.567793",100,0,"24/09/10,16:42:06",1,0
1927,30912,2024-09-10 16:43:22,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:43:16",41.21,0,93.09,9.77,-0.1,1.21,-0.15,0.23,-0.04,E,Standing,1,37.865,"28.535713,77.567773",100,0,"24/09/10,16:43:16",1,0
1928,30913,2024-09-10 16:44:32,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:44:27",41.05,0,91.13,10.19,0.15,1.24,-0.14,-0.08,0.12,E,Standing,1,37.865,"28.535693,77.567778",100,0,"24/09/10,16:44:27",1,0
1929,30914,2024-09-10 16:45:42,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:45:37",41.12,0,93.79,9.79,-0.77,1.44,-0.17,-0.19,0.03,E,Standing,1,37.865,"28.535690,77.567788",100,0,"24/09/10,16:45:37",1,0
1930,30915,2024-09-10 16:46:53,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:46:48",41.01,0,91.24,9.75,0.98,2.02,-0.04,0.06,0.06,E,Standing,3,37.865,"28.535752,77.567778",100,0,"24/09/10,16:46:48",1,0
1931,30916,2024-09-10 16:48:03,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:47:58",41.2,0,94.69,9.85,0.71,1.56,-0.04,0.01,0.03,E,Standing,2,37.865,"28.535742,77.567802",100,0,"24/09/10,16:47:58",1,0
1932,30917,2024-09-10 16:49:14,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:49:09",40.79,0,91.97,10.29,-0.27,-0.75,0.03,0.02,0.01,E,Standing,2,37.865,"28.535715,77.567765",100,0,"24/09/10,16:49:09",1,0
1933,30918,2024-09-10 16:51:35,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:51:30",40.68,0,89.98,9.68,1.13,1.64,0.61,0.03,-0.04,E,Standing,3,37.865,"28.535695,77.567723",100,0,"24/09/10,16:51:30",1,0
1934,30919,2024-09-10 16:52:45,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:52:39",40.62,0,88.77,10.59,-2.87,-0.59,-0.58,0.03,-0.16,E,Standing,2,37.865,"28.535717,77.567773",100,0,"24/09/10,16:52:39",1,0
1935,30920,2024-09-10 16:53:55,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:53:50",40.64,0,89.55,9.64,0.67,1.78,-0.03,-0.03,0.04,E,Standing,3,37.865,"28.535743,77.567825",100,0,"24/09/10,16:53:50",1,0
1936,30921,2024-09-10 16:55:06,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:55:00",40.41,0,98.01,9.78,0.45,-0.08,-0.22,0.35,0.15,E,Standing,2,37.865,"28.535793,77.567787",100,0,"24/09/10,16:55:00",1,0
1937,30922,2024-09-10 16:56:16,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:56:11",40.17,0,90.31,9.97,-0.09,-2.75,0.04,0.03,0,E,Standing,3,37.865,"28.535748,77.567817",100,0,"24/09/10,16:56:11",1,0
1938,30923,2024-09-10 16:57:26,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:57:21",40.44,0,96.48,9.77,-0.72,0.61,-0.14,-0.16,0.11,E,Standing,1,37.865,"28.535720,77.567807",100,0,"24/09/10,16:57:21",1,0
1939,30924,2024-09-10 16:58:37,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:58:31",40.34,0,91.82,9.76,-2.35,0.51,-0.23,0.05,-0.05,E,Standing,2,37.865,"28.535718,77.567812",100,0,"24/09/10,16:58:31",1,0
1940,30925,2024-09-10 16:59:47,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:59:42",40.35,0,99.04,9.86,1.42,0.46,-0.21,0.04,0.01,E,Standing,3,37.865,"28.535768,77.567792",100,0,"24/09/10,16:59:42",1,0
1941,30926,2024-09-10 17:00:57,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:00:52",40.39,0,94.6,9.77,-2.16,0.14,-0.13,-0.01,0,E,Standing,2,37.865,"28.535812,77.567788",100,0,"24/09/10,17:00:52",1,0
1942,30927,2024-09-10 17:02:08,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:02:03",40.69,0,94.78,9.35,-3.23,0.53,-0.15,0.02,0,E,Standing,2,37.865,"28.535780,77.567832",100,0,"24/09/10,17:02:03",1,0
1943,30928,2024-09-10 17:03:18,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:03:13",40.53,0,98.89,8.91,0.58,-0.43,0.6,-0.02,-0.13,E,Standing,1,37.865,"28.535748,77.567833",100,0,"24/09/10,17:03:13",1,0
1944,30929,2024-09-10 17:04:29,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:04:23",40.61,0,97.98,9.6,0.47,1.34,0.17,-0.01,0.09,E,Standing,1,37.865,"28.535730,77.567810",100,0,"24/09/10,17:04:23",1,0
1945,30930,2024-09-10 17:05:39,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:05:34",40.42,0,97.29,9.53,1.27,1.52,-0.08,-0.02,-0.01,E,Standing,3,37.865,"28.535753,77.567822",100,0,"24/09/10,17:05:34",1,0
1946,30931,2024-09-10 17:06:49,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:06:44",40.54,0,95.91,10.01,0.17,0.57,-0.02,0.1,0,E,Standing,1,37.865,"28.535748,77.567813",100,0,"24/09/10,17:06:44",1,0
1947,30932,2024-09-10 17:08:00,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:07:55",40.75,0,99.33,10.06,-0.48,-2.33,-0.07,0,0,E,Standing,3,37.865,"28.535817,77.567752",100,0,"24/09/10,17:07:55",1,0
1948,30933,2024-09-10 17:09:10,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:09:05",39.86,0,89.11,9.78,-0.74,1.08,-0.13,-0.3,0.12,E,Standing,1,37.865,"28.535708,77.567842",100,0,"24/09/10,17:09:05",1,0
1949,30934,2024-09-10 17:10:21,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:10:15",40.42,0,97.54,9.69,1.73,0.68,0.03,0.03,0.02,E,Standing,3,37.865,"28.535708,77.567842",100,0,"24/09/10,17:10:15",1,0
1950,30935,2024-09-10 17:12:43,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:12:36",40.13,0,91.35,9.54,0.14,1.59,0.07,-0.1,0.11,E,Standing,1,37.865,"28.535783,77.567800",100,0,"24/09/10,17:12:36",1,0
1951,30936,2024-09-10 17:13:52,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:13:46",40.46,0,93.48,9.63,0.18,2,-0.15,0,-0.02,E,Standing,3,37.865,"28.535698,77.567785",100,0,"24/09/10,17:13:46",1,0
1952,30937,2024-09-10 17:15:03,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:14:58",39.61,0,89.14,9.62,1.38,1.8,-0.13,-0.01,-0.02,E,Standing,3,37.865,"28.535698,77.567785",100,0,"24/09/10,17:14:58",1,0
1953,30938,2024-09-10 17:16:13,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:16:08",40.49,0,95.5,10.14,0.37,1.05,-0.1,0.13,0.01,E,Standing,2,37.865,"28.535780,77.567837",100,0,"24/09/10,17:16:08",1,0
1954,30939,2024-09-10 17:17:23,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:17:18",40.66,0,94.06,10.04,0.53,1.57,0.2,-0.07,0.09,E,Standing,3,37.865,"28.535780,77.567837",100,0,"24/09/10,17:17:18",1,0
1955,30940,2024-09-10 17:18:34,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:18:28",40.24,0,98.85,9.92,-0.31,-2.82,-0.36,0.02,-0.01,E,Standing,1,37.865,"28.535775,77.567763",100,0,"24/09/10,17:18:28",1,0
1956,30941,2024-09-10 17:19:44,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:19:39",40.41,0,93.12,9.56,-2.1,1.12,-0.12,0.01,0.02,E,Standing,1,37.865,"28.535793,77.567822",100,0,"24/09/10,17:19:39",1,0
1957,30942,2024-09-10 17:20:54,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:20:49",40.58,0,98.5,9.3,-2.06,1.8,-0.15,0.02,-0.11,E,Standing,2,37.865,"28.535795,77.567802",100,0,"24/09/10,17:20:49",1,0
1958,30943,2024-09-10 17:22:06,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:22:00",40.38,0,89.67,9.62,0.74,2.03,-0.26,0.08,0.01,E,Standing,3,37.865,"28.535768,77.567800",100,0,"24/09/10,17:22:00",1,0
1959,30944,2024-09-10 17:23:15,862211073312019,Y: 1,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:23:10",40.23,0,91.74,9.82,0.56,1.52,-0.12,-0.02,0.03,E,Standing,3,37.865,"28.535792,77.567743",100,0,"24/09/10,17:23:10",1,0
1960,30945,2024-09-10 17:24:26,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:24:20",40.3,0,96.09,9.65,1.3,1.67,-0.05,-0.01,0.04,E,Standing,3,37.865,"28.535763,77.567800",100,0,"24/09/10,17:24:20",1,0
1961,30946,2024-09-10 17:25:36,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:25:31",40.65,0,96.09,9.79,0.85,1.9,0.01,0.06,0.03,E,Standing,3,37.865,"28.535770,77.567775",100,0,"24/09/10,17:25:31",1,0
1962,30947,2024-09-10 17:26:50,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:26:41",40.36,0,90.32,9.77,0.73,1.33,-0.3,-0.05,-0.05,E,Standing,3,37.865,"28.535775,77.567832",100,0,"24/09/10,17:26:41",1,0
1963,30948,2024-09-10 17:27:57,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:27:51",39.98,0,94.58,9.56,-1.36,0.94,-0.35,0.07,-0.17,E,Standing,2,37.865,"28.535785,77.567853",100,0,"24/09/10,17:27:51",1,0
1964,30949,2024-09-10 17:29:08,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:29:02",40.39,0,96.23,9.78,1.61,1.53,-0.21,0.01,-0.04,E,Standing,3,37.865,"28.535755,77.567860",100,0,"24/09/10,17:29:02",1,0
1965,30950,2024-09-10 17:30:21,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:30:12",40.32,0,96.2,9.81,-0.05,1.98,-0.05,0.01,0.04,E,Standing,1,37.865,"28.535788,77.567758",100,0,"24/09/10,17:30:12",1,0
1966,30951,2024-09-10 17:31:28,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:31:22",40.14,0,94.23,9.49,1.42,1.64,-0.04,0.03,0.02,E,Standing,3,37.865,"28.535692,77.567817",100,0,"24/09/10,17:31:22",1,0
1967,30952,2024-09-10 17:32:39,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:32:33",39.9,31,88.86,9.79,0.04,1.08,-0.02,-0.03,0,E,Standing,1,37.865,"28.535795,77.567837",100,0,"24/09/10,17:32:33",1,0
1968,30953,2024-09-10 17:33:50,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:33:44",39.62,0,93.63,9.33,1.52,2.03,-0.08,0.02,-0.02,E,Standing,3,37.865,"28.535725,77.567845",100,0,"24/09/10,17:33:44",1,0
1969,30954,2024-09-10 17:34:59,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:34:54",40.08,0,91.84,9.49,0.13,1.32,-0.17,-0.03,0.02,E,Standing,1,37.865,"28.535802,77.567855",100,0,"24/09/10,17:34:54",1,0
1970,30955,2024-09-10 17:36:11,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:36:04",39.95,0,90.66,9.58,0.74,2.09,-0.07,0.04,0.01,E,Standing,3,37.865,"28.535807,77.567878",100,0,"24/09/10,17:36:04",1,0
1971,30956,2024-09-10 17:37:20,862211073312019120027,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:37:15",39.56,0,89.84,9.83,0.73,1.45,-0.09,-0.01,-0.01,E,Standing,3,37.865,"28.535727,77.567747",100,0,"24/09/10,17:37:15",1,0
1972,30957,2024-09-10 17:38:32,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:38:25",40.17,0,93.6,10.08,0.57,0.25,-0.12,-0.01,0.09,E,Standing,3,37.865,"28.535765,77.567853",100,0,"24/09/10,17:38:25",1,0
1973,30958,2024-09-10 17:39:41,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:39:35",39.91,0,89.01,9.46,0.4,1.06,-0.1,0.01,0.01,E,Standing,1,37.865,"28.535720,77.567858",100,0,"24/09/10,17:39:35",1,0
1974,30959,2024-09-10 17:40:51,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:40:46",39.33,0,89.89,9.94,0.03,1.47,0.06,-0.04,0,E,Standing,1,37.865,"28.535720,77.567858",100,0,"24/09/10,17:40:46",1,0
1975,30960,2024-09-10 17:42:01,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:41:56",40.13,0,95.64,9.58,1.38,1.19,0.04,0.13,0.07,E,Standing,3,37.865,"28.535713,77.567757",100,0,"24/09/10,17:41:56",1,0
1976,30961,2024-09-10 17:43:12,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:43:07",40.13,0,93.27,9.47,0.36,1.66,-0.06,-0.02,0.04,E,Standing,3,37.865,"28.535770,77.567868",100,0,"24/09/10,17:43:07",1,0
1977,30962,2024-09-10 17:44:22,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:44:18",39.87,0,90.37,9.72,-0.17,1.62,-0.29,0.1,-0.18,E,Standing,2,37.865,"28.535758,77.567773",100,0,"24/09/10,17:44:18",1,0
1978,30963,2024-09-10 17:45:32,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:45:28",39.91,0,91.63,9.7,-0.13,2.04,0.03,-0.11,0.06,E,Standing,1,37.865,"28.535793,77.567765",100,0,"24/09/10,17:45:28",1,0
1979,30964,2024-09-10 17:46:43,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:46:39",39.77,0,90.22,9.62,0.38,1.2,0,0.02,0.02,E,Standing,2,37.865,"28.535795,77.567858",100,0,"24/09/10,17:46:39",1,0
1980,30965,2024-09-10 17:47:53,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:47:49",39.26,0,87.93,9.19,1.14,2.27,-0.06,-0.03,-0.05,E,Standing,3,37.865,"28.535895,77.567910",100,0,"24/09/10,17:47:49",1,0
1981,30966,2024-09-10 17:49:04,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:49:00",39.47,0,98.59,9.96,1.08,0.33,-0.08,0,-0.04,E,Standing,3,37.865,"28.535888,77.567918",100,0,"24/09/10,17:49:00",1,0
1982,30967,2024-09-10 17:50:15,862211073312019,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:50:10",39.24,0,98.46,9.67,-0.25,2.11,-0.14,0.11,-0.14,E,Standing,2,37.865,"28.535742,77.567948",100,0,"24/09/10,17:50:10",1,0
1983,30968,2024-09-10 17:51:24,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:51:20",39.22,0,89.81,9.54,1.22,2.09,-0.08,0.04,0.03,E,Standing,3,37.865,"28.535817,77.567913",100,0,"24/09/10,17:51:20",1,0
1984,30969,2024-09-10 17:52:35,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:52:30",39.43,0,93.48,9.78,0.38,1.71,0.1,0.1,-0.03,E,Standing,3,37.865,"28.535690,77.567975",100,0,"24/09/10,17:52:30",1,0
1985,30970,2024-09-10 17:53:45,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:53:41",39.08,0,88.54,9.63,-0.25,2.16,-0.01,-0.07,0.04,E,Standing,1,37.865,"28.535813,77.567955",100,0,"24/09/10,17:53:41",1,0
1986,30971,2024-09-10 17:54:56,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:54:51",38.99,0,87.27,9.57,-0.34,1.97,-0.16,0.04,-0.03,E,Standing,3,37.865,"28.535793,77.567952",100,0,"24/09/10,17:54:51",1,0
1987,30972,2024-09-10 17:56:06,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:56:02",38.44,0,91.22,9.35,1.23,2.33,0.17,-0.02,0.09,E,Standing,3,37.865,"28.535830,77.567938",100,0,"24/09/10,17:56:02",1,0
1988,30973,2024-09-10 17:57:16,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:57:12",38.78,0,98.44,9.53,0.28,2.16,0.05,0.07,0.04,E,Standing,1,37.865,"28.535803,77.567908",100,0,"24/09/10,17:57:12",1,0
1989,30974,2024-09-10 17:58:27,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:58:22",38.98,0,94.15,9.62,-0.95,1.84,-0.12,-0.01,0.01,E,Standing,1,37.865,"28.535842,77.567798",100,0,"24/09/10,17:58:22",1,0
1990,30975,2024-09-10 17:59:37,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,17:59:33",39.14,0,93.87,9.89,-1.37,0.48,0.07,-0.02,0.07,E,Standing,1,37.865,"28.535860,77.567853",100,0,"24/09/10,17:59:33",1,0
1991,30976,2024-09-10 18:00:47,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:00:43",39.31,0,95.08,9.77,-1.97,0.43,-0.33,-0.03,-0.06,E,Standing,1,37.865,"28.535873,77.567842",100,0,"24/09/10,18:00:43",1,2
1992,30977,2024-09-10 18:01:58,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:01:54",38.55,0,86.58,9.18,1.65,2.55,-0.02,-0.02,0,E,Standing,3,37.865,"28.535788,77.567848",100,0,"24/09/10,18:01:54",1,2
1993,30978,2024-09-10 18:03:08,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:03:04",39.01,0,92.01,8.97,-3.61,1.94,0.08,0,0.01,E,Standing,1,37.865,"28.535833,77.567788",100,0,"24/09/10,18:03:04",1,2
1994,30979,2024-09-10 18:04:19,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:04:14",38.66,0,86.79,9.15,0.91,2.38,-0.2,-0.07,-0.12,E,Standing,3,37.865,"28.535795,77.567708",100,0,"24/09/10,18:04:14",1,2
1995,30980,2024-09-10 18:05:30,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:05:25",38.68,0,94.35,10.07,-0.08,-0.62,0.35,0.03,0.08,E,Standing,1,37.865,"28.535762,77.567705",100,0,"24/09/10,18:05:25",1,2
1996,30981,2024-09-10 18:09:32,,,,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:09:28",37.37,0,80,1.09,3.62,7.94,-0.05,0,0.01,N,Standing,2,36.49,"0.000000,0.000000",100,0,"24/09/10,18:09:28",1,0
1997,30982,2024-09-10 18:10:43,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:10:38",37.48,0,80,1.08,3.62,7.95,-0.05,0,0.01,NE,Standing,2,37.865,"28.535942,77.567838",100,0,"24/09/10,18:10:38",1,0
1998,30983,2024-09-10 18:11:53,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:11:49",37.46,0,80,1.06,3.62,7.99,-0.05,0,0.01,NE,Sitting,2,37.865,"28.535852,77.567825",100,0,"24/09/10,18:11:49",1,0
1999,30984,2024-09-10 18:13:04,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:12:59",37.3,0,80,1.08,3.63,7.93,-0.05,0,0.01,NE,Sitting,2,37.865,"28.535908,77.567835",100,0,"24/09/10,18:12:59",1,0
2000,30985,2024-09-10 18:14:14,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:14:10",37.29,0,80,1.08,3.61,7.94,-0.05,0,0.01,NE,Sitting,2,37.865,"28.535922,77.567815",100,0,"24/09/10,18:14:10",1,0
2001,30986,2024-09-10 18:15:25,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:15:20",37.2,0,80,1.07,3.61,7.92,-0.05,0,0.01,NE,Sitting,2,37.865,"28.535598,77.567763",100,0,"24/09/10,18:15:20",1,0
2002,30987,2024-09-10 18:16:35,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:16:30",37.18,0,80,1.07,3.62,7.95,-0.05,0,0.01,NE,Sitting,2,37.865,"28.535768,77.567825",100,0,"24/09/10,18:16:30",1,0
2003,30988,2024-09-10 18:17:45,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,18:17:41",37.17,0,80,1.09,3.64,7.96,-0.05,0,0.01,NE,Sitting,2,37.865,"28.535913,77.567892",100,0,"24/09/10,18:17:41",1,0
